conf,images,objects,predictions,matched,false_positives,fp_per_image,recall,precision_like,tiny_recall,small_recall,fire_recall,smoke_recall,fp_fire,fp_other,fp_smoke
0.1,500,1813,2510,1630,880,1.76,0.89906,0.6494,0.80269,0.8828,0.87793,0.94953,683,1,196
0.15,500,1813,2319,1612,707,1.414,0.88913,0.69513,0.787,0.87671,0.86854,0.93832,562,0,145
0.2,500,1813,2192,1602,590,1.18,0.88362,0.73084,0.77354,0.87215,0.8615,0.93645,473,0,117
0.25,500,1813,2086,1592,494,0.988,0.8781,0.76318,0.76682,0.86606,0.85446,0.93458,392,0,102
0.3,500,1813,1998,1573,425,0.85,0.86762,0.78729,0.73991,0.85693,0.84116,0.93084,338,0,87
0.4,500,1813,1829,1528,301,0.602,0.8428,0.83543,0.69058,0.84018,0.81534,0.90841,240,0,61
0.5,500,1813,1676,1463,213,0.426,0.80695,0.87291,0.63677,0.80365,0.77621,0.88037,172,0,41
