conf,images,objects,predictions,matched,false_positives,fp_per_image,recall,precision_like,tiny_recall,small_recall,fire_recall,smoke_recall,fp_fire,fp_other,fp_smoke
0.1,500,1813,2058,1615,443,0.886,0.89079,0.78474,0.76906,0.90107,0.87011,0.94019,378,0,65
0.15,500,1813,1925,1587,338,0.676,0.87534,0.82442,0.73991,0.8828,0.85368,0.9271,289,0,49
0.2,500,1813,1825,1564,261,0.522,0.86266,0.85699,0.70852,0.87215,0.83568,0.9271,223,0,38
0.25,500,1813,1742,1532,210,0.42,0.84501,0.87945,0.66592,0.8554,0.81142,0.92523,176,0,34
0.3,500,1813,1660,1491,169,0.338,0.82239,0.89819,0.63004,0.8204,0.78247,0.91776,142,0,27
0.4,500,1813,1543,1416,127,0.254,0.78103,0.91769,0.52242,0.78082,0.7277,0.90841,107,0,20
0.5,500,1813,1406,1322,84,0.168,0.72918,0.94026,0.40359,0.72907,0.66119,0.89159,69,0,15
