conf,images,objects,predictions,matched,false_positives,fp_per_image,recall,precision_like,tiny_recall,small_recall,fire_recall,smoke_recall,fp_fire,fp_other,fp_smoke
0.1,500,1813,2034,1603,431,0.862,0.88417,0.7881,0.74888,0.89193,0.86228,0.93645,370,0,61
0.15,500,1813,1926,1587,339,0.678,0.87534,0.82399,0.73318,0.87976,0.8529,0.92897,292,0,47
0.2,500,1813,1845,1568,277,0.554,0.86486,0.84986,0.70628,0.87062,0.84038,0.92336,243,0,34
0.25,500,1813,1758,1541,217,0.434,0.84997,0.87656,0.67713,0.85236,0.82081,0.91963,189,0,28
0.3,500,1813,1682,1503,179,0.358,0.82901,0.89358,0.63004,0.82801,0.79343,0.91402,156,0,23
0.4,500,1813,1520,1401,119,0.238,0.77275,0.92171,0.49103,0.77017,0.71909,0.90093,105,0,14
0.5,500,1813,1365,1292,73,0.146,0.71263,0.94652,0.36099,0.70167,0.64241,0.88037,64,0,9
