conf,images,objects,predictions,matched,false_positives,fp_per_image,recall,precision_like,tiny_recall,small_recall,fire_recall,smoke_recall,fp_fire,fp_other,fp_smoke
0.1,500,1813,2038,1613,425,0.85,0.88969,0.79146,0.76233,0.8965,0.87167,0.93271,363,0,62
0.15,500,1813,1935,1601,334,0.668,0.88307,0.82739,0.75112,0.88737,0.86307,0.93084,287,0,47
0.2,500,1813,1850,1580,270,0.54,0.87148,0.85405,0.72197,0.87519,0.84742,0.92897,234,0,36
0.25,500,1813,1776,1552,224,0.448,0.85604,0.87387,0.68834,0.86149,0.82786,0.92336,195,0,29
0.3,500,1813,1699,1521,178,0.356,0.83894,0.89523,0.63901,0.84932,0.80516,0.91963,154,0,24
0.4,500,1813,1574,1446,128,0.256,0.79757,0.91868,0.54933,0.8067,0.75196,0.90654,109,0,19
0.5,500,1813,1460,1370,90,0.18,0.75565,0.93836,0.47309,0.74886,0.69718,0.89533,79,0,11
