conf,images,objects,predictions,matched,false_positives,fp_per_image,recall,precision_like,tiny_recall,small_recall,fire_recall,smoke_recall,fp_fire,fp_other,fp_smoke
0.1,1000,0,28,0,28,0.028,0.0,0.0,0.0,0.0,0.0,0.0,5,3,20
0.15,1000,0,21,0,21,0.021,0.0,0.0,0.0,0.0,0.0,0.0,4,3,14
0.2,1000,0,15,0,15,0.015,0.0,0.0,0.0,0.0,0.0,0.0,4,3,8
0.25,1000,0,15,0,15,0.015,0.0,0.0,0.0,0.0,0.0,0.0,4,3,8
0.3,1000,0,12,0,12,0.012,0.0,0.0,0.0,0.0,0.0,0.0,2,3,7
0.4,1000,0,3,0,3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2
0.5,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
