epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,40277.5,0.96077,0.68647,1.3574,0.82004,0.77568,0.83733,0.5732,0.9791,0.89228,1.2499,0.0072755,0.00242517,0.0072755,0.00242517,0.0072755,0.00242517,0.0072755,0.00242517
31,41599.9,0.95384,0.67935,1.34973,0.81918,0.7773,0.83803,0.57443,0.97808,0.8857,1.24891,0.00716358,0.00238786,0.00716358,0.00238786,0.00716358,0.00238786,0.00716358,0.00238786
32,42929.1,0.9495,0.67314,1.34707,0.82145,0.77776,0.8389,0.57538,0.97723,0.87588,1.24846,0.00704908,0.00234969,0.00704908,0.00234969,0.00704908,0.00234969,0.00704908,0.00234969
33,44254.5,0.93851,0.66314,1.33784,0.8227,0.77851,0.83999,0.57658,0.97655,0.86601,1.2482,0.00693211,0.0023107,0.00693211,0.0023107,0.00693211,0.0023107,0.00693211,0.0023107
34,45549.7,0.93302,0.65125,1.33196,0.82405,0.77854,0.84066,0.57748,0.97624,0.8578,1.24817,0.00681278,0.00227093,0.00681278,0.00227093,0.00681278,0.00227093,0.00681278,0.00227093
35,46872.3,0.92568,0.64267,1.32463,0.81876,0.78374,0.84085,0.57791,0.97587,0.84964,1.24829,0.00669121,0.0022304,0.00669121,0.0022304,0.00669121,0.0022304,0.00669121,0.0022304
36,48188.3,0.91602,0.63335,1.31798,0.81778,0.78584,0.84088,0.57829,0.97538,0.84074,1.24859,0.00656753,0.00218918,0.00656753,0.00218918,0.00656753,0.00218918,0.00656753,0.00218918
37,49496.1,0.90687,0.62695,1.31404,0.81971,0.78665,0.84133,0.57847,0.97476,0.83109,1.24888,0.00644185,0.00214728,0.00644185,0.00214728,0.00644185,0.00214728,0.00644185,0.00214728
38,50832.7,0.9064,0.61892,1.30743,0.82012,0.78703,0.84112,0.57866,0.9743,0.82319,1.24933,0.00631429,0.00210476,0.00631429,0.00210476,0.00631429,0.00210476,0.00631429,0.00210476
39,52168.9,0.89687,0.61169,1.2957,0.82061,0.786,0.84119,0.57865,0.97397,0.81521,1.24937,0.00618499,0.00206166,0.00618499,0.00206166,0.00618499,0.00206166,0.00618499,0.00206166
