epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2677,0.88463,0.58823,1.28301,0.76822,0.76518,0.77405,0.51657,1.16914,0.90311,1.46126,0.000475645,0.000475645,0.000475645
2,172.763,0.91895,0.6288,1.31375,0.77614,0.7388,0.77844,0.51304,1.16019,0.92129,1.47013,0.000698117,0.000698117,0.000698117
3,262.512,0.87974,0.58382,1.28684,0.769,0.76119,0.7944,0.52516,1.14846,0.9196,1.46775,0.000666545,0.000666545,0.000666545
