epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.649,1.00043,0.73089,1.3849,0.71941,0.69213,0.74114,0.47728,1.23384,0.9983,1.52099,0.000475645,0.000475645,0.000475645
2,212.836,1.1243,0.92924,1.48779,0.65364,0.7156,0.7041,0.44542,1.27634,1.12424,1.54155,0.000763487,0.000763487,0.000763487
3,321.854,1.13726,0.92993,1.50802,0.71537,0.71162,0.72544,0.45434,1.27482,1.06564,1.53981,0.0008627,0.0008627,0.0008627
4,438.194,1.06895,0.81692,1.44506,0.72981,0.70948,0.73259,0.47359,1.24703,0.97024,1.53151,0.000580174,0.000580174,0.000580174
