epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,50836.1,0.73589,0.47341,1.20684,0.83512,0.78913,0.83437,0.57686,1.00167,0.74597,1.40095,0.00259218,0.00086406,0.00259218,0.00086406,0.00259218,0.00086406,0.00259218,0.00086406
31,52502.8,0.73933,0.47289,1.20845,0.83493,0.78894,0.83416,0.57728,1.00178,0.74502,1.40178,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
32,54164.9,0.73549,0.4741,1.20659,0.83713,0.78742,0.83394,0.57674,1.00212,0.74377,1.40323,0.00253721,0.000845736,0.00253721,0.000845736,0.00253721,0.000845736,0.00253721,0.000845736
33,55834.3,0.73186,0.46959,1.20127,0.83865,0.78675,0.83322,0.57661,1.00261,0.7435,1.40442,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
34,57483.2,0.72646,0.46525,1.19737,0.8377,0.78787,0.83337,0.57669,1.00306,0.74312,1.40612,0.00247943,0.000826477,0.00247943,0.000826477,0.00247943,0.000826477,0.00247943,0.000826477
35,59156.2,0.72462,0.46513,1.19724,0.83884,0.78713,0.83346,0.57671,1.00337,0.74299,1.40742,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514
36,60837.3,0.72212,0.45855,1.18951,0.84114,0.78474,0.83325,0.57662,1.00374,0.74309,1.40854,0.00241901,0.000806337,0.00241901,0.000806337,0.00241901,0.000806337,0.00241901,0.000806337
37,62520.7,0.7175,0.45775,1.18936,0.84051,0.78499,0.83305,0.57652,1.004,0.74347,1.40944,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
38,64195.4,0.71687,0.45562,1.1876,0.83892,0.78694,0.833,0.57636,1.00447,0.74354,1.41078,0.00235611,0.000785371,0.00235611,0.000785371,0.00235611,0.000785371,0.00235611,0.000785371
39,65861.2,0.71581,0.45522,1.1873,0.83767,0.7885,0.83295,0.57619,1.00477,0.74386,1.41259,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596
40,67549,0.71353,0.45135,1.18563,0.83777,0.7881,0.83274,0.57611,1.00516,0.74385,1.41421,0.00229091,0.000763637,0.00229091,0.000763637,0.00229091,0.000763637,0.00229091,0.000763637
41,69234,0.71139,0.45378,1.18365,0.83727,0.7889,0.8326,0.57552,1.00559,0.74402,1.41558,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
42,70918.3,0.70916,0.45189,1.17956,0.83743,0.7892,0.8317,0.57511,1.00577,0.74383,1.41686,0.00222358,0.000741194,0.00222358,0.000741194,0.00222358,0.000741194,0.00222358,0.000741194
